,house_prices,tourism,gdp,C,I,earnings_single,earnings_couple,fbcf,construction,alojamento_local,golden_visas,juro,log_juro,log_alojamento_local,log_house_prices
2005,,93.14821567200687,94.87179487179488,94.5127719962157,96.17590822179733,90.33725628253131,90.06200846764796,96.17590822179733,108.97435897435899,54.345654345654346,100.0,71.42124166239098,78.74631608582996,91.97825049996709,
2006,,95.98967781970612,95.72649572649573,95.83727530747397,95.50669216061186,98.67801985931341,98.18604287347326,95.50669216061186,105.23504273504274,59.140859140859135,100.0,69.67675731144176,77.1847840645674,93.09056934430868,
2007,,99.67072439988752,98.19563152896487,97.25638599810785,97.03632887189293,99.19539511347709,99.09867950591754,97.03632887189293,104.16666666666667,64.03596403596403,100.0,83.56422096801779,88.66166169520562,94.13666047329727,
2008,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009,96.74082211846562,99.24571898834958,95.6315289648623,97.16177861873227,90.43977055449331,100.85724720173192,101.13383735810655,90.43977055449331,90.70512820512822,197.7022977022977,100.0,109.59466393022063,105.78543109215556,108.96607414677231,99.29402295107452
2010,98.63590588666116,102.77232097244078,97.43589743589743,99.43235572374644,88.81453154875717,105.85736235679644,105.6818132185996,88.81453154875717,87.2863247863248,288.9110889110889,100.0,52.60817513254666,59.440783241166585,113.95635999468819,99.70736203061973
2011,96.53941224938204,99.59303840889314,97.24596391263059,97.91863765373698,83.17399617590823,102.28566352348176,100.35647821127189,83.17399617590823,82.9059829059829,377.8221778221778,100.0,51.97537198563372,58.67660775165806,117.48580127604026,99.2496180682166
2012,88.65696237297446,95.13543211304717,94.11206077872745,92.52601702932827,70.8413001912046,108.22955668590303,105.99870479847944,70.8413001912046,70.72649572649573,475.3246753246753,200.0,80.26338293141788,86.11671638082011,120.50576184454344,97.43481934897011
2013,84.637919985352,95.46974668856227,90.69325735992403,88.45789971617786,60.89866156787763,105.33932907369265,104.74491637373751,60.89866156787763,54.91452991452992,598.6513486513487,49400.0,77.23618949888836,83.68900629712856,123.54028237194873,96.4463755093053
2014,88.03442277762518,104.25464279936311,91.64292497625831,90.82308420056764,61.281070745697896,103.88557863774848,103.34147698237899,61.281070745697896,51.28205128205129,835.6143856143856,152600.0,66.46143321361389,74.20140736171679,127.92718283742477,97.28468133431691
2015,88.74851231346699,110.36502766665528,93.44729344729346,92.4314096499527,67.11281070745699,102.54739453441162,105.32323060264987,67.11281070745699,56.08974358974359,1392.7572427572427,76600.0,64.58012656062947,72.38813551405667,134.64752001709405,97.45680950722789
2016,94.90982330861485,118.22793065469264,94.68186134852802,95.08041627246925,66.73040152963671,105.3454158413887,106.98960146148919,66.73040152963671,53.73931623931624,1963.2367632367632,141400.0,47.665469471523956,53.210431035817976,139.16361497014373,98.88689749528567
2017,102.43522841710153,124.10439449044863,98.10066476733144,97.35099337748345,74.47418738049714,107.35043002191236,108.40582610390913,74.47418738049714,60.36324786324787,2883.2667332667334,145100.0,39.456131349410065,41.27453083343618,144.2193156983198,100.51263922025456
2018,114.96841527053007,131.6312889495377,100.66476733143399,99.52696310312204,79.1586998087954,110.79225039317228,111.7287605016742,79.1586998087954,63.24786324786326,4048.6513486513486,140900.0,33.35043612108784,30.658349518441668,148.6847757029393,102.97195205910032
2019,125.55158839146753,138.86486143407313,103.13390313390313,102.08136234626302,87.47609942638623,,,87.47609942638623,71.04700854700855,4597.652347652347,124500.0,28.835300153925196,21.472326787010754,150.35754114182708,104.84816653399346
